cod_mun;Ano;n1;n2;n3
110001;2016;6,00;0,01;0,00
110037;2016;5,00;0,01;0,00
110040;2016;5,00;0,01;0,00
110034;2016;3,00;0,01;0,00
110002;2016;17,00;0,01;0,00
110045;2016;7,00;0,01;0,00
110003;2016;2,60;0,01;0,00
110060;2016;2,00;0,01;0,00
110004;2016;19,00;0,01;0,00
110070;2016;4,00;0,01;0,00
110080;2016;7,00;0,01;0,00
110090;2016;1,00;0,01;0,00
110005;2016;5,00;0,01;0,00
110092;2016;4,00;0,01;0,00
110006;2016;5,00;0,01;0,00
110007;2016;3,00;0,01;0,00
110008;2016;5,00;0,01;0,00
110094;2016;3,00;0,01;0,00
110009;2016;7,00;0,01;0,00
110100;2016;4,00;0,01;0,00
110010;2016;11,00;0,01;0,00
110110;2016;2,00;0,01;0,00
110011;2016;12,00;0,01;0,00
110012;2016;24,00;0,01;0,00
110013;2016;8,00;0,01;0,00
110120;2016;3,00;0,01;0,00
110130;2016;3,00;0,01;0,00
110140;2016;5,00;0,01;0,00
110014;2016;5,00;0,01;0,00
110033;2016;6,00;0,01;0,00
110143;2016;2,00;0,01;0,00
110050;2016;3,00;0,01;0,00
110015;2016;10,00;0,01;0,00
110145;2016;1,00;0,01;0,00
110018;2016;8,00;0,01;0,00
110146;2016;1,00;0,01;0,00
110020;2016;85,00;0,01;0,00
110025;2016;7,00;0,01;0,00
110147;2016;2,00;0,01;0,00
110026;2016;1,00;0,01;0,00
110028;2016;13,00;0,01;0,00
110029;2016;4,00;0,01;0,00
110148;2016;3,00;0,01;0,00
110149;2016;8,00;0,01;0,00
110032;2016;4,00;0,01;0,00
110150;2016;3,00;0,01;0,00
110155;2016;2,00;0,01;0,00
110160;2016;5,00;0,01;0,00
110170;2016;3,00;0,01;0,00
110175;2016;2,00;0,01;0,00
110180;2016;3,00;0,01;0,00
110030;2016;24,00;0,01;0,00
120001;2016;5,00;0,01;0,00
120005;2016;3,00;0,01;0,00
120010;2016;9,00;0,01;0,00
120013;2016;4,00;0,01;0,00
120017;2016;4,00;0,01;0,00
120020;2016;42,00;0,01;0,00
120025;2016;6,00;0,01;0,00
120030;2016;8,00;0,01;0,00
120032;2016;3,00;0,01;0,00
120033;2016;5,00;0,01;0,00
120034;2016;3,00;0,01;0,00
120035;2016;4,00;0,01;0,00
120038;2016;7,00;0,01;0,00
120080;2016;5,00;0,01;0,00
120039;2016;3,00;0,01;0,00
120040;2016;62,00;0,01;12,00
120042;2016;6,00;0,01;0,00
120043;2016;2,00;0,01;0,00
120050;2016;15,00;0,01;0,00
120045;2016;8,00;0,01;0,00
120060;2016;9,00;0,01;0,00
120070;2016;6,00;0,01;0,00
130002;2016;3,00;0,01;0,00
130006;2016;2,00;0,01;0,00
130008;2016;4,00;0,01;0,00
130010;2016;7,00;0,01;0,00
130014;2016;7,00;0,01;0,00
